Nome,Estrelas,Forks,Issues Abertas,Criado em,Última Atualização,Último Push,Número de Releases,Total de Pull Requests Aceitas,Razão de Issues Fechadas,Linguagem Primária
JeecgBoot,39949,14673,62,2018-11-26T10:40:00Z,2024-09-05T17:44:26Z,2024-09-04T15:02:44Z,30,27,0.3333333333333333,Java
Rocket.Chat,39943,10287,3083,2015-05-19T07:36:09Z,2024-09-05T17:04:21Z,2024-09-05T17:30:56Z,30,13,0.5,TypeScript
AFFiNE,39896,2568,175,2022-07-31T18:45:21Z,2024-09-05T17:52:24Z,2024-09-05T17:00:48Z,30,27,0.8333333333333334,TypeScript
uni-app,39868,3611,1012,2018-07-12T08:52:39Z,2024-09-05T16:04:22Z,2024-09-05T13:16:07Z,0,26,0.5666666666666667,JavaScript
Stirling-PDF,39810,3118,178,2023-01-27T18:22:42Z,2024-09-05T17:44:17Z,2024-09-05T17:51:41Z,30,26,0.5333333333333333,Java
what-happens-when,39779,5529,2070,2013-11-07T04:30:06Z,2024-09-05T17:55:36Z,2024-08-19T13:02:25Z,0,1,0.03333333333333333,
lobe-chat,39755,9072,411,2023-05-21T07:19:12Z,2024-09-05T17:59:09Z,2024-09-05T17:41:30Z,30,16,0.3333333333333333,TypeScript
monaco-editor,39750,3546,570,2016-06-07T16:56:31Z,2024-09-05T17:12:16Z,2024-09-02T06:56:27Z,30,17,0.23333333333333334,JavaScript
vuetify,39615,6947,838,2016-09-12T00:39:35Z,2024-09-05T13:00:30Z,2024-09-05T09:07:12Z,30,10,0.43333333333333335,TypeScript
swiper,39509,9747,139,2012-03-14T19:11:45Z,2024-09-05T16:34:37Z,2024-09-02T14:43:59Z,30,26,0.7,JavaScript
awesome-cheatsheets,39440,6128,112,2017-11-09T02:47:15Z,2024-09-05T17:34:41Z,2024-08-24T21:07:02Z,0,9,0.36666666666666664,JavaScript
text-generation-webui,39369,5176,247,2022-12-21T04:17:37Z,2024-09-05T15:47:51Z,2024-09-04T02:48:33Z,30,18,0.4666666666666667,Python
lx-music-desktop,39270,5867,684,2019-08-14T14:31:08Z,2024-09-05T17:30:16Z,2024-08-24T05:08:58Z,30,26,0.26666666666666666,TypeScript
spark,39247,28181,211,2014-02-25T08:00:08Z,2024-09-05T15:05:15Z,2024-09-05T13:02:43Z,0,11,0.36666666666666664,Scala
hexo,39149,4810,90,2012-09-23T15:17:08Z,2024-09-05T11:14:16Z,2024-08-18T07:29:14Z,30,25,0.5333333333333333,TypeScript
dbeaver,39136,3379,2538,2015-10-21T08:26:28Z,2024-09-05T17:33:16Z,2024-09-05T15:40:54Z,30,11,0.1,Java
ailearning,39041,11399,3,2017-02-25T08:53:02Z,2024-09-05T12:37:51Z,2024-03-04T02:15:13Z,2,29,0.9,Python
fastlane,39004,5659,720,2014-12-02T17:00:38Z,2024-09-05T12:13:25Z,2024-08-23T18:50:10Z,30,10,0.06666666666666667,Ruby
awesome-design-patterns,38941,2853,16,2018-06-04T17:47:48Z,2024-09-05T17:10:02Z,2024-06-11T05:34:10Z,0,23,0.5,
reactjs-interview-questions,38871,9239,9,2018-05-31T17:17:01Z,2024-09-05T17:47:07Z,2024-08-27T09:39:46Z,0,29,0.9333333333333333,JavaScript
materialize,38869,4742,795,2014-09-12T19:35:38Z,2024-09-05T16:56:18Z,2024-07-25T13:39:54Z,30,14,0.3,JavaScript
prisma,38765,1519,3193,2019-06-20T13:33:47Z,2024-09-05T16:59:35Z,2024-09-05T17:51:32Z,30,12,0.3,TypeScript
kong,38764,4765,124,2014-11-17T23:56:08Z,2024-09-05T16:47:08Z,2024-09-05T16:58:19Z,30,12,0.3333333333333333,Lua
CPlusPlusThings,38712,8439,8,2019-07-14T08:45:45Z,2024-09-05T16:30:42Z,2024-06-14T01:58:36Z,0,28,0.7333333333333333,C++
pocketbase,38605,1761,40,2022-07-05T06:06:21Z,2024-09-05T17:28:48Z,2024-08-27T18:53:29Z,30,28,0.9333333333333333,Go
ColossalAI,38572,4322,429,2021-10-28T16:19:44Z,2024-09-05T16:36:02Z,2024-09-04T03:52:24Z,30,24,0.6666666666666666,Python
pyenv,38526,3012,59,2012-08-31T06:57:52Z,2024-09-05T17:41:02Z,2024-09-04T19:52:53Z,30,28,0.7666666666666667,Roff
sentry,38475,4113,2779,2010-08-30T22:06:41Z,2024-09-05T17:55:17Z,2024-09-05T17:55:15Z,30,11,0.26666666666666666,Python
acme.sh,38394,4891,1239,2015-12-26T12:56:33Z,2024-09-05T17:03:26Z,2024-08-21T13:43:04Z,30,11,0.3333333333333333,Shell
black,38311,2419,390,2018-03-14T19:54:45Z,2024-09-05T17:30:48Z,2024-08-26T17:08:36Z,30,24,0.6333333333333333,Python
stablediffusion,38294,4942,285,2022-11-23T23:59:50Z,2024-09-05T15:16:47Z,2024-08-09T12:30:53Z,0,7,0.1,Python
cheat.sh,38086,1773,136,2017-05-07T21:40:56Z,2024-09-05T15:20:56Z,2024-06-22T19:07:48Z,0,16,0.2,Python
open-webui,38073,4397,144,2023-10-06T22:08:27Z,2024-09-05T17:50:45Z,2024-09-05T17:11:28Z,30,28,0.9333333333333333,Svelte
fanqiang,38009,7235,305,2015-01-14T00:34:25Z,2024-09-05T16:56:59Z,2024-08-18T07:26:05Z,3,11,0.5333333333333333,Kotlin
metabase,37964,5036,4117,2015-02-02T19:25:47Z,2024-09-05T17:55:53Z,2024-09-05T17:58:03Z,30,11,0.23333333333333334,Clojure
Deep-Learning-Papers-Reading-Roadmap,37908,7304,86,2016-10-14T11:49:48Z,2024-09-05T16:15:39Z,2022-11-27T13:18:32Z,0,13,0.23333333333333334,Python
esbuild,37898,1125,475,2016-06-14T16:08:50Z,2024-09-05T16:25:26Z,2024-08-16T22:14:12Z,30,22,0.23333333333333334,Go
php-src,37843,7719,1121,2011-06-16T01:52:25Z,2024-09-05T17:38:19Z,2024-09-05T17:26:27Z,0,15,0.5333333333333333,C
video.js,37806,7429,523,2010-05-14T18:45:10Z,2024-09-05T12:32:54Z,2024-08-28T13:44:38Z,30,26,0.6,JavaScript
bert,37781,9556,889,2018-10-25T22:57:34Z,2024-09-05T15:18:48Z,2024-07-23T23:39:41Z,0,11,0.23333333333333334,Python
tabler,37727,3939,82,2018-02-01T09:08:59Z,2024-09-05T16:38:54Z,2024-08-28T11:58:19Z,30,26,0.5666666666666667,HTML
impress.js,37619,6675,67,2011-12-28T22:23:19Z,2024-09-05T17:00:21Z,2024-04-26T17:13:34Z,15,23,0.5666666666666667,JavaScript
iina,37606,2546,1692,2016-12-19T07:18:45Z,2024-09-05T16:30:52Z,2024-09-02T01:25:57Z,30,23,0.3333333333333333,Swift
MPAndroidChart,37524,9006,2184,2014-04-25T14:29:47Z,2024-09-05T06:09:07Z,2024-08-20T14:01:30Z,30,14,0.06666666666666667,Java
wrk,37490,2919,196,2012-03-20T11:12:28Z,2024-09-05T15:48:28Z,2023-12-30T10:33:51Z,0,7,0.16666666666666666,C
cobra,37470,2830,286,2013-09-03T20:40:26Z,2024-09-05T17:59:06Z,2024-08-24T23:02:45Z,22,17,0.5333333333333333,Go
chakra-ui,37417,3208,292,2019-08-17T14:27:54Z,2024-09-05T17:08:20Z,2024-09-04T21:56:18Z,30,25,0.6666666666666666,MDX
odoo,37226,24219,6653,2014-05-13T15:38:58Z,2024-09-05T17:56:28Z,2024-09-05T17:53:55Z,0,1,0.03333333333333333,Python
styleguide,37201,13287,274,2015-05-20T19:18:59Z,2024-09-05T11:37:01Z,2024-07-28T15:03:20Z,0,18,0.36666666666666664,HTML
htmx,37069,1249,587,2020-04-13T16:17:51Z,2024-09-05T17:52:09Z,2024-09-02T20:59:23Z,22,19,0.4666666666666667,JavaScript
Made-With-ML,37029,5871,19,2018-11-05T03:44:27Z,2024-09-05T17:06:12Z,2024-08-18T04:34:15Z,0,26,0.36666666666666664,Jupyter Notebook
chinese-independent-developer,37020,3084,1,2017-09-21T11:08:23Z,2024-09-05T16:49:48Z,2024-09-03T10:42:10Z,0,30,1.0,
freecodecamp.cn,36966,1376,151,2016-09-30T03:13:43Z,2024-09-05T17:41:43Z,2023-07-16T16:48:59Z,0,19,0.16666666666666666,CSS
Open-Assistant,36935,3224,289,2022-12-13T05:24:17Z,2024-09-05T17:47:23Z,2024-08-17T01:55:35Z,30,18,0.4666666666666667,Python
phaser,36903,7081,39,2013-04-12T12:27:51Z,2024-09-05T17:44:56Z,2024-09-05T17:48:25Z,30,27,0.8666666666666667,JavaScript
zju-icicles,36893,9393,12,2016-06-28T16:17:32Z,2024-09-05T14:46:05Z,2024-09-05T07:31:36Z,0,30,0.8,HTML
tidb,36855,5800,4533,2015-09-06T04:01:52Z,2024-09-05T17:54:39Z,2024-09-05T15:28:18Z,30,11,0.2,Go
nvm-windows,36837,3288,81,2014-09-20T16:37:28Z,2024-09-05T12:07:20Z,2024-08-02T18:52:20Z,20,24,0.7666666666666667,Go
llm-course,36780,3858,51,2023-06-17T22:16:25Z,2024-09-05T17:16:48Z,2024-07-28T22:17:43Z,0,6,0.3333333333333333,Jupyter Notebook
diagrams,36779,2385,391,2020-02-02T15:23:24Z,2024-09-05T17:13:46Z,2024-07-21T16:09:26Z,30,4,0.06666666666666667,Python
free,36731,5754,473,2020-06-07T02:48:33Z,2024-09-05T17:28:29Z,2024-08-20T09:43:55Z,0,15,0.06666666666666667,
English-level-up-tips,36625,4091,26,2017-05-30T07:18:52Z,2024-09-05T17:24:33Z,2024-07-13T17:58:27Z,0,30,0.5666666666666667,HTML
cli,36593,5583,657,2019-10-03T15:24:53Z,2024-09-05T17:50:05Z,2024-09-04T20:45:04Z,30,22,0.6333333333333333,Go
vaultwarden,36556,1772,20,2018-02-17T22:40:20Z,2024-09-05T17:32:13Z,2024-09-01T13:55:41Z,30,27,0.9,Rust
ClickHouse,36554,6766,3919,2016-06-02T08:28:18Z,2024-09-05T17:59:47Z,2024-09-05T17:04:39Z,30,9,0.1,C++
preact,36527,1942,223,2015-09-11T02:40:18Z,2024-09-05T15:19:53Z,2024-08-30T07:50:14Z,30,22,0.6333333333333333,JavaScript
interview_internal_reference,36516,9432,30,2019-06-10T06:54:19Z,2024-09-05T16:11:24Z,2024-05-20T12:04:02Z,0,27,0.3333333333333333,Python
tutorials,36468,54464,78,2013-04-29T18:26:36Z,2024-09-05T17:54:58Z,2024-09-05T17:54:50Z,0,10,0.3,Java
gorm,36461,3901,419,2013-10-25T08:31:38Z,2024-09-05T08:28:27Z,2024-09-05T04:12:59Z,2,21,0.16666666666666666,Go
